,0,1,2
0, isolate the host using carbon black response,account,0
1, isolate the host using carbon black response,address,0
2, isolate the host using carbon black response,alert,0
3, isolate the host using carbon black response,case,0
4, isolate the host using carbon black response,classifier,0
5, isolate the host using carbon black response,device,0
6, isolate the host using carbon black response,directory,0
7, isolate the host using carbon black response,email,0
8, isolate the host using carbon black response,endpoint,0
9, isolate the host using carbon black response,file,0
10, isolate the host using carbon black response,hash,0
11, isolate the host using carbon black response,host,1
12, isolate the host using carbon black response,id,0
13, isolate the host using carbon black response,incident,0
14, isolate the host using carbon black response,indicator,0
15, isolate the host using carbon black response,information,0
16, isolate the host using carbon black response,input,0
17, isolate the host using carbon black response,investigation,0
18, isolate the host using carbon black response,ips,0
19, isolate the host using carbon black response,manager,0
20, isolate the host using carbon black response,object,0
21, isolate the host using carbon black response,operation,0
22, isolate the host using carbon black response,playbook,0
23, isolate the host using carbon black response,property,0
24, isolate the host using carbon black response,report,0
25, isolate the host using carbon black response,reputation,0
26, isolate the host using carbon black response,response,0
27, isolate the host using carbon black response,result,0
28, isolate the host using carbon black response,sample,0
29, isolate the host using carbon black response,severity,0
30, isolate the host using carbon black response,url,0
31, isolate the host using carbon black response,username,0
32,add indictor to the minemeld miner.,account,0
33,add indictor to the minemeld miner.,address,0
34,add indictor to the minemeld miner.,alert,0
35,add indictor to the minemeld miner.,case,0
36,add indictor to the minemeld miner.,classifier,0
37,add indictor to the minemeld miner.,device,0
38,add indictor to the minemeld miner.,directory,0
39,add indictor to the minemeld miner.,email,0
40,add indictor to the minemeld miner.,endpoint,0
41,add indictor to the minemeld miner.,file,0
42,add indictor to the minemeld miner.,hash,0
43,add indictor to the minemeld miner.,host,0
44,add indictor to the minemeld miner.,id,0
45,add indictor to the minemeld miner.,incident,0
46,add indictor to the minemeld miner.,indicator,1
47,add indictor to the minemeld miner.,information,0
48,add indictor to the minemeld miner.,input,0
49,add indictor to the minemeld miner.,investigation,0
50,add indictor to the minemeld miner.,ips,0
51,add indictor to the minemeld miner.,manager,0
52,add indictor to the minemeld miner.,object,0
53,add indictor to the minemeld miner.,operation,0
54,add indictor to the minemeld miner.,playbook,0
55,add indictor to the minemeld miner.,property,0
56,add indictor to the minemeld miner.,report,0
57,add indictor to the minemeld miner.,reputation,0
58,add indictor to the minemeld miner.,response,0
59,add indictor to the minemeld miner.,result,0
60,add indictor to the minemeld miner.,sample,0
61,add indictor to the minemeld miner.,severity,0
62,add indictor to the minemeld miner.,url,0
63,add indictor to the minemeld miner.,username,0
64,add the relevant endpoint to the system,account,0
65,add the relevant endpoint to the system,address,0
66,add the relevant endpoint to the system,alert,0
67,add the relevant endpoint to the system,case,0
68,add the relevant endpoint to the system,classifier,0
69,add the relevant endpoint to the system,device,0
70,add the relevant endpoint to the system,directory,0
71,add the relevant endpoint to the system,email,0
72,add the relevant endpoint to the system,endpoint,1
73,add the relevant endpoint to the system,file,0
74,add the relevant endpoint to the system,hash,0
75,add the relevant endpoint to the system,host,0
76,add the relevant endpoint to the system,id,0
77,add the relevant endpoint to the system,incident,0
78,add the relevant endpoint to the system,indicator,0
79,add the relevant endpoint to the system,information,0
80,add the relevant endpoint to the system,input,0
81,add the relevant endpoint to the system,investigation,0
82,add the relevant endpoint to the system,ips,0
83,add the relevant endpoint to the system,manager,0
84,add the relevant endpoint to the system,object,0
85,add the relevant endpoint to the system,operation,0
86,add the relevant endpoint to the system,playbook,0
87,add the relevant endpoint to the system,property,0
88,add the relevant endpoint to the system,report,0
89,add the relevant endpoint to the system,reputation,0
90,add the relevant endpoint to the system,response,0
91,add the relevant endpoint to the system,result,0
92,add the relevant endpoint to the system,sample,0
93,add the relevant endpoint to the system,severity,0
94,add the relevant endpoint to the system,url,0
95,add the relevant endpoint to the system,username,0
96,adds the md5 hash to the blacklist in carbon black,account,0
97,adds the md5 hash to the blacklist in carbon black,address,0
98,adds the md5 hash to the blacklist in carbon black,alert,0
99,adds the md5 hash to the blacklist in carbon black,case,0
100,adds the md5 hash to the blacklist in carbon black,classifier,0
101,adds the md5 hash to the blacklist in carbon black,device,0
102,adds the md5 hash to the blacklist in carbon black,directory,0
103,adds the md5 hash to the blacklist in carbon black,email,0
104,adds the md5 hash to the blacklist in carbon black,endpoint,0
105,adds the md5 hash to the blacklist in carbon black,file,0
106,adds the md5 hash to the blacklist in carbon black,hash,1
107,adds the md5 hash to the blacklist in carbon black,host,0
108,adds the md5 hash to the blacklist in carbon black,id,0
109,adds the md5 hash to the blacklist in carbon black,incident,0
110,adds the md5 hash to the blacklist in carbon black,indicator,0
111,adds the md5 hash to the blacklist in carbon black,information,0
112,adds the md5 hash to the blacklist in carbon black,input,0
113,adds the md5 hash to the blacklist in carbon black,investigation,0
114,adds the md5 hash to the blacklist in carbon black,ips,0
115,adds the md5 hash to the blacklist in carbon black,manager,0
116,adds the md5 hash to the blacklist in carbon black,object,0
117,adds the md5 hash to the blacklist in carbon black,operation,0
118,adds the md5 hash to the blacklist in carbon black,playbook,0
119,adds the md5 hash to the blacklist in carbon black,property,0
120,adds the md5 hash to the blacklist in carbon black,report,0
121,adds the md5 hash to the blacklist in carbon black,reputation,0
122,adds the md5 hash to the blacklist in carbon black,response,0
123,adds the md5 hash to the blacklist in carbon black,result,0
124,adds the md5 hash to the blacklist in carbon black,sample,0
125,adds the md5 hash to the blacklist in carbon black,severity,0
126,adds the md5 hash to the blacklist in carbon black,url,0
127,adds the md5 hash to the blacklist in carbon black,username,0
128,"assign the incident severity level  to ""critical"".",account,0
129,"assign the incident severity level  to ""critical"".",address,0
130,"assign the incident severity level  to ""critical"".",alert,0
131,"assign the incident severity level  to ""critical"".",case,0
132,"assign the incident severity level  to ""critical"".",classifier,0
133,"assign the incident severity level  to ""critical"".",device,0
134,"assign the incident severity level  to ""critical"".",directory,0
135,"assign the incident severity level  to ""critical"".",email,0
136,"assign the incident severity level  to ""critical"".",endpoint,0
137,"assign the incident severity level  to ""critical"".",file,0
138,"assign the incident severity level  to ""critical"".",hash,0
139,"assign the incident severity level  to ""critical"".",host,0
140,"assign the incident severity level  to ""critical"".",id,0
141,"assign the incident severity level  to ""critical"".",incident,0
142,"assign the incident severity level  to ""critical"".",indicator,0
143,"assign the incident severity level  to ""critical"".",information,0
144,"assign the incident severity level  to ""critical"".",input,0
145,"assign the incident severity level  to ""critical"".",investigation,0
146,"assign the incident severity level  to ""critical"".",ips,0
147,"assign the incident severity level  to ""critical"".",manager,0
148,"assign the incident severity level  to ""critical"".",object,0
149,"assign the incident severity level  to ""critical"".",operation,0
150,"assign the incident severity level  to ""critical"".",playbook,0
151,"assign the incident severity level  to ""critical"".",property,0
152,"assign the incident severity level  to ""critical"".",report,0
153,"assign the incident severity level  to ""critical"".",reputation,0
154,"assign the incident severity level  to ""critical"".",response,0
155,"assign the incident severity level  to ""critical"".",result,0
156,"assign the incident severity level  to ""critical"".",sample,0
157,"assign the incident severity level  to ""critical"".",severity,1
158,"assign the incident severity level  to ""critical"".",url,0
159,"assign the incident severity level  to ""critical"".",username,0
160,"assign the incident severity level  to ""high"".",account,0
161,"assign the incident severity level  to ""high"".",address,0
162,"assign the incident severity level  to ""high"".",alert,0
163,"assign the incident severity level  to ""high"".",case,0
164,"assign the incident severity level  to ""high"".",classifier,0
165,"assign the incident severity level  to ""high"".",device,0
166,"assign the incident severity level  to ""high"".",directory,0
167,"assign the incident severity level  to ""high"".",email,0
168,"assign the incident severity level  to ""high"".",endpoint,0
169,"assign the incident severity level  to ""high"".",file,0
170,"assign the incident severity level  to ""high"".",hash,0
171,"assign the incident severity level  to ""high"".",host,0
172,"assign the incident severity level  to ""high"".",id,0
173,"assign the incident severity level  to ""high"".",incident,0
174,"assign the incident severity level  to ""high"".",indicator,0
175,"assign the incident severity level  to ""high"".",information,0
176,"assign the incident severity level  to ""high"".",input,0
177,"assign the incident severity level  to ""high"".",investigation,0
178,"assign the incident severity level  to ""high"".",ips,0
179,"assign the incident severity level  to ""high"".",manager,0
180,"assign the incident severity level  to ""high"".",object,0
181,"assign the incident severity level  to ""high"".",operation,0
182,"assign the incident severity level  to ""high"".",playbook,0
183,"assign the incident severity level  to ""high"".",property,0
184,"assign the incident severity level  to ""high"".",report,0
185,"assign the incident severity level  to ""high"".",reputation,0
186,"assign the incident severity level  to ""high"".",response,0
187,"assign the incident severity level  to ""high"".",result,0
188,"assign the incident severity level  to ""high"".",sample,0
189,"assign the incident severity level  to ""high"".",severity,1
190,"assign the incident severity level  to ""high"".",url,0
191,"assign the incident severity level  to ""high"".",username,0
192,"assign the incident severity level  to ""low"".",account,0
193,"assign the incident severity level  to ""low"".",address,0
194,"assign the incident severity level  to ""low"".",alert,0
195,"assign the incident severity level  to ""low"".",case,0
196,"assign the incident severity level  to ""low"".",classifier,0
197,"assign the incident severity level  to ""low"".",device,0
198,"assign the incident severity level  to ""low"".",directory,0
199,"assign the incident severity level  to ""low"".",email,0
200,"assign the incident severity level  to ""low"".",endpoint,0
201,"assign the incident severity level  to ""low"".",file,0
202,"assign the incident severity level  to ""low"".",hash,0
203,"assign the incident severity level  to ""low"".",host,0
204,"assign the incident severity level  to ""low"".",id,0
205,"assign the incident severity level  to ""low"".",incident,0
206,"assign the incident severity level  to ""low"".",indicator,0
207,"assign the incident severity level  to ""low"".",information,0
208,"assign the incident severity level  to ""low"".",input,0
209,"assign the incident severity level  to ""low"".",investigation,0
210,"assign the incident severity level  to ""low"".",ips,0
211,"assign the incident severity level  to ""low"".",manager,0
212,"assign the incident severity level  to ""low"".",object,0
213,"assign the incident severity level  to ""low"".",operation,0
214,"assign the incident severity level  to ""low"".",playbook,0
215,"assign the incident severity level  to ""low"".",property,0
216,"assign the incident severity level  to ""low"".",report,0
217,"assign the incident severity level  to ""low"".",reputation,0
218,"assign the incident severity level  to ""low"".",response,0
219,"assign the incident severity level  to ""low"".",result,0
220,"assign the incident severity level  to ""low"".",sample,0
221,"assign the incident severity level  to ""low"".",severity,1
222,"assign the incident severity level  to ""low"".",url,0
223,"assign the incident severity level  to ""low"".",username,0
224,"assign the incident severity level  to ""medium"".",account,0
225,"assign the incident severity level  to ""medium"".",address,0
226,"assign the incident severity level  to ""medium"".",alert,0
227,"assign the incident severity level  to ""medium"".",case,0
228,"assign the incident severity level  to ""medium"".",classifier,0
229,"assign the incident severity level  to ""medium"".",device,0
230,"assign the incident severity level  to ""medium"".",directory,0
231,"assign the incident severity level  to ""medium"".",email,0
232,"assign the incident severity level  to ""medium"".",endpoint,0
233,"assign the incident severity level  to ""medium"".",file,0
234,"assign the incident severity level  to ""medium"".",hash,0
235,"assign the incident severity level  to ""medium"".",host,0
236,"assign the incident severity level  to ""medium"".",id,0
237,"assign the incident severity level  to ""medium"".",incident,0
238,"assign the incident severity level  to ""medium"".",indicator,0
239,"assign the incident severity level  to ""medium"".",information,0
240,"assign the incident severity level  to ""medium"".",input,0
241,"assign the incident severity level  to ""medium"".",investigation,0
242,"assign the incident severity level  to ""medium"".",ips,0
243,"assign the incident severity level  to ""medium"".",manager,0
244,"assign the incident severity level  to ""medium"".",object,0
245,"assign the incident severity level  to ""medium"".",operation,0
246,"assign the incident severity level  to ""medium"".",playbook,0
247,"assign the incident severity level  to ""medium"".",property,0
248,"assign the incident severity level  to ""medium"".",report,0
249,"assign the incident severity level  to ""medium"".",reputation,0
250,"assign the incident severity level  to ""medium"".",response,0
251,"assign the incident severity level  to ""medium"".",result,0
252,"assign the incident severity level  to ""medium"".",sample,0
253,"assign the incident severity level  to ""medium"".",severity,1
254,"assign the incident severity level  to ""medium"".",url,0
255,"assign the incident severity level  to ""medium"".",username,0
256,assign the incident to an analyst based on the analysts organizational role.,account,0
257,assign the incident to an analyst based on the analysts organizational role.,address,0
258,assign the incident to an analyst based on the analysts organizational role.,alert,0
259,assign the incident to an analyst based on the analysts organizational role.,case,0
260,assign the incident to an analyst based on the analysts organizational role.,classifier,0
261,assign the incident to an analyst based on the analysts organizational role.,device,0
262,assign the incident to an analyst based on the analysts organizational role.,directory,0
263,assign the incident to an analyst based on the analysts organizational role.,email,0
264,assign the incident to an analyst based on the analysts organizational role.,endpoint,0
265,assign the incident to an analyst based on the analysts organizational role.,file,0
266,assign the incident to an analyst based on the analysts organizational role.,hash,0
267,assign the incident to an analyst based on the analysts organizational role.,host,0
268,assign the incident to an analyst based on the analysts organizational role.,id,0
269,assign the incident to an analyst based on the analysts organizational role.,incident,1
270,assign the incident to an analyst based on the analysts organizational role.,indicator,0
271,assign the incident to an analyst based on the analysts organizational role.,information,0
272,assign the incident to an analyst based on the analysts organizational role.,input,0
273,assign the incident to an analyst based on the analysts organizational role.,investigation,0
274,assign the incident to an analyst based on the analysts organizational role.,ips,0
275,assign the incident to an analyst based on the analysts organizational role.,manager,0
276,assign the incident to an analyst based on the analysts organizational role.,object,0
277,assign the incident to an analyst based on the analysts organizational role.,operation,0
278,assign the incident to an analyst based on the analysts organizational role.,playbook,0
279,assign the incident to an analyst based on the analysts organizational role.,property,0
280,assign the incident to an analyst based on the analysts organizational role.,report,0
281,assign the incident to an analyst based on the analysts organizational role.,reputation,0
282,assign the incident to an analyst based on the analysts organizational role.,response,0
283,assign the incident to an analyst based on the analysts organizational role.,result,0
284,assign the incident to an analyst based on the analysts organizational role.,sample,0
285,assign the incident to an analyst based on the analysts organizational role.,severity,0
286,assign the incident to an analyst based on the analysts organizational role.,url,0
287,assign the incident to an analyst based on the analysts organizational role.,username,0
288,auto-close this incident,account,0
289,auto-close this incident,address,0
290,auto-close this incident,alert,0
291,auto-close this incident,case,0
292,auto-close this incident,classifier,0
293,auto-close this incident,device,0
294,auto-close this incident,directory,0
295,auto-close this incident,email,0
296,auto-close this incident,endpoint,0
297,auto-close this incident,file,0
298,auto-close this incident,hash,0
299,auto-close this incident,host,0
300,auto-close this incident,id,0
301,auto-close this incident,incident,1
302,auto-close this incident,indicator,0
303,auto-close this incident,information,0
304,auto-close this incident,input,0
305,auto-close this incident,investigation,0
306,auto-close this incident,ips,0
307,auto-close this incident,manager,0
308,auto-close this incident,object,0
309,auto-close this incident,operation,0
310,auto-close this incident,playbook,0
311,auto-close this incident,property,0
312,auto-close this incident,report,0
313,auto-close this incident,reputation,0
314,auto-close this incident,response,0
315,auto-close this incident,result,0
316,auto-close this incident,sample,0
317,auto-close this incident,severity,0
318,auto-close this incident,url,0
319,auto-close this incident,username,0
320,block the external ips in the firewall,account,0
321,block the external ips in the firewall,address,0
322,block the external ips in the firewall,alert,0
323,block the external ips in the firewall,case,0
324,block the external ips in the firewall,classifier,0
325,block the external ips in the firewall,device,0
326,block the external ips in the firewall,directory,0
327,block the external ips in the firewall,email,0
328,block the external ips in the firewall,endpoint,0
329,block the external ips in the firewall,file,0
330,block the external ips in the firewall,hash,0
331,block the external ips in the firewall,host,0
332,block the external ips in the firewall,id,0
333,block the external ips in the firewall,incident,0
334,block the external ips in the firewall,indicator,0
335,block the external ips in the firewall,information,0
336,block the external ips in the firewall,input,0
337,block the external ips in the firewall,investigation,0
338,block the external ips in the firewall,ips,1
339,block the external ips in the firewall,manager,0
340,block the external ips in the firewall,object,0
341,block the external ips in the firewall,operation,0
342,block the external ips in the firewall,playbook,0
343,block the external ips in the firewall,property,0
344,block the external ips in the firewall,report,0
345,block the external ips in the firewall,reputation,0
346,block the external ips in the firewall,response,0
347,block the external ips in the firewall,result,0
348,block the external ips in the firewall,sample,0
349,block the external ips in the firewall,severity,0
350,block the external ips in the firewall,url,0
351,block the external ips in the firewall,username,0
352,block the external ips in the proxy,account,0
353,block the external ips in the proxy,address,0
354,block the external ips in the proxy,alert,0
355,block the external ips in the proxy,case,0
356,block the external ips in the proxy,classifier,0
357,block the external ips in the proxy,device,0
358,block the external ips in the proxy,directory,0
359,block the external ips in the proxy,email,0
360,block the external ips in the proxy,endpoint,0
361,block the external ips in the proxy,file,0
362,block the external ips in the proxy,hash,0
363,block the external ips in the proxy,host,0
364,block the external ips in the proxy,id,0
365,block the external ips in the proxy,incident,0
366,block the external ips in the proxy,indicator,0
367,block the external ips in the proxy,information,0
368,block the external ips in the proxy,input,0
369,block the external ips in the proxy,investigation,0
370,block the external ips in the proxy,ips,1
371,block the external ips in the proxy,manager,0
372,block the external ips in the proxy,object,0
373,block the external ips in the proxy,operation,0
374,block the external ips in the proxy,playbook,0
375,block the external ips in the proxy,property,0
376,block the external ips in the proxy,report,0
377,block the external ips in the proxy,reputation,0
378,block the external ips in the proxy,response,0
379,block the external ips in the proxy,result,0
380,block the external ips in the proxy,sample,0
381,block the external ips in the proxy,severity,0
382,block the external ips in the proxy,url,0
383,block the external ips in the proxy,username,0
384,block the ips using check point firewall.,account,0
385,block the ips using check point firewall.,address,0
386,block the ips using check point firewall.,alert,0
387,block the ips using check point firewall.,case,0
388,block the ips using check point firewall.,classifier,0
389,block the ips using check point firewall.,device,0
390,block the ips using check point firewall.,directory,0
391,block the ips using check point firewall.,email,0
